=== qlab round 5 (prefix qlab_r5, seed 1234) ===
--- trajectory txts into the 720p tree ---
--- download (cached after round 1) ---
[90mHint: The `hf-cli` skill is not installed. Run `hf skills add -g --claude` to teach your AI agents how to use the `hf` CLI.[0m
Fetching 32 files:   0%|          | 0/32 [00:00<?, ?it/s]Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 32 files:  25%|██▌       | 8/32 [00:00<00:00, 75.63it/s]Fetching 32 files:  25%|██▌       | 8/32 [00:20<00:00, 75.63it/s]Fetching 32 files:  28%|██▊       | 9/32 [02:22<08:18, 21.65s/it]Fetching 32 files:  31%|███▏      | 10/32 [02:27<06:48, 18.56s/it]Fetching 32 files:  31%|███▏      | 10/32 [02:40<06:48, 18.56s/it]Fetching 32 files:  34%|███▍      | 11/32 [02:54<07:05, 20.27s/it]Fetching 32 files:  38%|███▊      | 12/32 [03:29<07:53, 23.67s/it]Fetching 32 files:  41%|████      | 13/32 [04:17<09:21, 29.54s/it]Fetching 32 files:  44%|████▍     | 14/32 [04:23<07:02, 23.46s/it]Fetching 32 files:  47%|████▋     | 15/32 [04:40<06:38, 23.46s/it]Fetching 32 files:  50%|█████     | 16/32 [04:41<04:37, 17.33s/it]Fetching 32 files:  53%|█████▎    | 17/32 [04:48<03:44, 14.97s/it]Fetching 32 files:  53%|█████▎    | 17/32 [05:00<03:44, 14.97s/it]Fetching 32 files:  56%|█████▋    | 18/32 [05:14<04:07, 17.65s/it]Fetching 32 files:  59%|█████▉    | 19/32 [06:38<07:36, 35.15s/it]Fetching 32 files:  66%|██████▌   | 21/32 [06:38<03:41, 20.12s/it]Fetching 32 files:  72%|███████▏  | 23/32 [06:39<01:54, 12.68s/it]Fetching 32 files:  78%|███████▊  | 25/32 [06:40<00:58,  8.31s/it]Fetching 32 files:  81%|████████▏ | 26/32 [06:57<01:00, 10.12s/it]Fetching 32 files:  88%|████████▊ | 28/32 [07:03<00:29,  7.42s/it]Fetching 32 files:  91%|█████████ | 29/32 [07:14<00:24,  8.22s/it]Fetching 32 files:  94%|█████████▍| 30/32 [07:24<00:17,  8.64s/it]Fetching 32 files:  97%|█████████▋| 31/32 [07:25<00:06,  6.84s/it]Fetching 32 files: 100%|██████████| 32/32 [07:26<00:00,  5.28s/it]Fetching 32 files: 100%|██████████| 32/32 [07:26<00:00, 13.96s/it]
--- serve ---
server ready
--- group d (verdict): P0,L2 ---
=== P0: baseline control (verbatim released prompt) ===
  [L2 161] prompt_4_v14.mp4: Normal (ok)
  [L2 162] prompt_4_v15.mp4: Normal (ok)
  [L2 163] prompt_4_v16.mp4: Normal (ok)
  [L2 164] prompt_4_v17.mp4: Normal (ok)
  [L2 165] prompt_4_v18.mp4: Normal (ok)
  [L2 166] prompt_4_v19.mp4: Normal (ok)
  [L2 167] prompt_4_v20.mp4: Normal (ok)
  [L2 168] prompt_5_v01.mp4: Normal (ok)
  [L2 169] prompt_5_v02.mp4: Normal (ok)
  [L2 170] prompt_5_v03.mp4: Normal (ok)
  [L2 171] prompt_5_v04.mp4: Normal (ok)
  [L2 172] prompt_5_v05.mp4: Normal (ok)
  [L2 173] prompt_5_v06.mp4: Normal (ok)
  [L2 174] prompt_5_v07.mp4: Normal (ok)
  [L2 175] prompt_5_v08.mp4: Normal (ok)
  [L2 176] prompt_5_v10.mp4: Normal (ok)
  [L2 177] prompt_5_v11.mp4: Normal (ok)
  [L2 178] prompt_5_v14.mp4: Normal (ok)
  [L2 179] prompt_5_v15.mp4: Normal (ok)
  [L2 180] prompt_5_v16.mp4: Normal (ok)
  [L2 181] prompt_5_v18.mp4: Normal (ok)
  [L2 182] prompt_5_v19.mp4: Normal (ok)
  [L2 183] prompt_5_v20.mp4: Normal (ok)
  [L2 184] prompt_6_v02.mp4: Normal (ok)
  [L2 185] prompt_6_v03.mp4: Normal (ok)
  [L2 186] prompt_6_v04.mp4: Normal (ok)
  [L2 187] prompt_6_v05.mp4: Normal (ok)
  [L2 188] prompt_6_v06.mp4: Normal (ok)
  [L2 189] prompt_6_v07.mp4: Normal (ok)
  [L2 190] prompt_6_v08.mp4: Normal (ok)
  [L2 191] prompt_6_v10.mp4: Normal (ok)
  [L2 192] prompt_6_v11.mp4: Normal (ok)
  [L2 193] prompt_6_v12.mp4: Normal (ok)
  [L2 194] prompt_6_v13.mp4: Normal (ok)
  [L2 195] prompt_6_v14.mp4: Normal (ok)
  [L2 196] prompt_6_v15.mp4: Normal (ok)
  [L2 197] prompt_6_v16.mp4: Normal (ok)
  [L2 198] prompt_6_v18.mp4: Normal (ok)
  [L2 199] prompt_6_v19.mp4: Normal (ok)
  [L2 200] prompt_6_v20.mp4: Normal (ok)
  [L2 201] prompt_8_v01.mp4: Normal (ok)
  [L2 202] prompt_8_v02.mp4: Normal (ok)
  [L2 203] prompt_8_v03.mp4: Normal (ok)
  [L2 204] prompt_8_v04.mp4: Normal (ok)
  [L2 205] prompt_8_v06.mp4: Normal (ok)
  [L2 206] prompt_8_v07.mp4: Normal (ok)
  [L2 207] prompt_8_v08.mp4: Anomaly (X)
  [L2 208] prompt_8_v09.mp4: Normal (ok)
  [L2 209] prompt_8_v11.mp4: Normal (ok)
  [L2 210] prompt_8_v12.mp4: Normal (ok)
  [L2 211] prompt_8_v13.mp4: Normal (ok)
  [L2 212] prompt_8_v14.mp4: Normal (ok)
  [L2 213] prompt_8_v15.mp4: Normal (ok)
  [L2 214] prompt_8_v16.mp4: Normal (ok)
  [L2 215] prompt_8_v17.mp4: Normal (ok)
  [L2 216] prompt_8_v18.mp4: Anomaly (X)
  [L2 217] prompt_8_v19.mp4: Anomaly (X)
  [L2 218] prompt_8_v20.mp4: Normal (ok)
  [L2 219] prompt_9_v01.mp4: Normal (ok)
  [L2 220] prompt_9_v03.mp4: Normal (ok)
  [L2 221] prompt_9_v04.mp4: Normal (ok)
  [L2 222] prompt_9_v05.mp4: Normal (ok)
  [L2 223] prompt_9_v06.mp4: Normal (ok)
  [L2 224] prompt_9_v07.mp4: Normal (ok)
  [L2 225] prompt_9_v08.mp4: Anomaly (X)
  [L2 226] prompt_9_v09.mp4: Normal (ok)
  [L2 227] prompt_9_v13.mp4: Anomaly (X)
  [L2 228] prompt_9_v14.mp4: Normal (ok)
  [L2 229] prompt_9_v16.mp4: Anomaly (X)
  [L2 230] prompt_9_v17.mp4: Normal (ok)
  [L2 231] prompt_9_v20.mp4: Anomaly (X)
L2: 146/235
# Prompt lab — round 5 (qlab_r5d)

n=235 paired clips; baseline=P0 acc=0.562

| variant | acc | 95% CI | balacc | rec/spec | vs base net (p) | breadth | anomaly-verdicts | trunc | hypothesis |
|---|---|---|---|---|---|---|---|---|---|
| L2 | 0.621 | [0.558,0.681] | 0.604 | 0.33/0.88 | +14 (0.219) | 6/15 | 51/235 | 0 | P0 + depiction/necessity guard line (min delta) |
| P0 | 0.562 | [0.498,0.624] | 0.574 | 0.76/0.38 | +0 (1.000) | 0/15 | 161/235 | 0 | baseline control (verbatim released prompt) |

## Per-scenario accuracy

| scenario | n | L2 | P0 |
|---|---|---|---|
| neg_prompt_0 | 18 | 1/18 | 8/18 |
| neg_prompt_2 | 19 | 19/19 | 19/19 |
| neg_prompt_3 | 15 | 0/15 | 1/15 |
| neg_prompt_4 | 17 | 2/17 | 17/17 |
| neg_prompt_5 | 16 | 1/16 | 14/16 |
| neg_prompt_8 | 7 | 6/7 | 7/7 |
| neg_prompt_9 | 18 | 7/18 | 18/18 |
| pos_prompt_0 | 17 | 17/17 | 17/17 |
| pos_prompt_11 | 14 | 13/14 | 8/14 |
| pos_prompt_2 | 9 | 2/9 | 1/9 |
| pos_prompt_4 | 18 | 18/18 | 0/18 |
| pos_prompt_5 | 17 | 17/17 | 2/17 |
| pos_prompt_6 | 18 | 18/18 | 18/18 |
| pos_prompt_8 | 19 | 16/19 | 0/19 |
| pos_prompt_9 | 13 | 9/13 | 2/13 |

## L2 vs P0: flips

fixed (63): prompt_0_v17.mp4, prompt_4.mp4, prompt_5.mp4, prompt_8.mp4, prompt_11_v06.mp4, prompt_11_v15.mp4, prompt_11_v16.mp4, prompt_11_v18.mp4, prompt_11_v20.mp4, prompt_2_v14.mp4, prompt_4_v02.mp4, prompt_4_v03.mp4, prompt_4_v04.mp4, prompt_4_v05.mp4, prompt_4_v06.mp4, prompt_4_v07.mp4, prompt_4_v08.mp4, prompt_4_v10.mp4, prompt_4_v11.mp4, prompt_4_v13.mp4, prompt_4_v14.mp4, prompt_4_v15.mp4, prompt_4_v16.mp4, prompt_4_v17.mp4, prompt_4_v18.mp4, prompt_4_v19.mp4, prompt_4_v20.mp4, prompt_5_v01.mp4, prompt_5_v02.mp4, prompt_5_v03.mp4, prompt_5_v05.mp4, prompt_5_v06.mp4, prompt_5_v08.mp4, prompt_5_v10.mp4, prompt_5_v11.mp4, prompt_5_v14.mp4, prompt_5_v15.mp4, prompt_5_v16.mp4, prompt_5_v18.mp4, prompt_5_v19.mp4, prompt_5_v20.mp4, prompt_8_v01.mp4, prompt_8_v02.mp4, prompt_8_v03.mp4, prompt_8_v04.mp4, prompt_8_v06.mp4, prompt_8_v07.mp4, prompt_8_v09.mp4, prompt_8_v11.mp4, prompt_8_v12.mp4, prompt_8_v13.mp4, prompt_8_v14.mp4, prompt_8_v15.mp4, prompt_8_v16.mp4, prompt_8_v17.mp4, prompt_8_v20.mp4, prompt_9_v01.mp4, prompt_9_v03.mp4, prompt_9_v05.mp4, prompt_9_v06.mp4, prompt_9_v07.mp4, prompt_9_v09.mp4, prompt_9_v14.mp4
broke (49): prompt_4.mp4, prompt_5.mp4, prompt_9.mp4, prompt_0_v04.mp4, prompt_0_v06.mp4, prompt_0_v09.mp4, prompt_0_v10.mp4, prompt_0_v11.mp4, prompt_0_v13.mp4, prompt_0_v15.mp4, prompt_0_v16.mp4, prompt_3_v19.mp4, prompt_4_v01.mp4, prompt_4_v02.mp4, prompt_4_v03.mp4, prompt_4_v04.mp4, prompt_4_v05.mp4, prompt_4_v06.mp4, prompt_4_v07.mp4, prompt_4_v12.mp4, prompt_4_v13.mp4, prompt_4_v14.mp4, prompt_4_v15.mp4, prompt_4_v16.mp4, prompt_4_v17.mp4, prompt_4_v20.mp4, prompt_5_v01.mp4, prompt_5_v02.mp4, prompt_5_v03.mp4, prompt_5_v04.mp4, prompt_5_v05.mp4, prompt_5_v09.mp4, prompt_5_v10.mp4, prompt_5_v12.mp4, prompt_5_v13.mp4, prompt_5_v14.mp4, prompt_5_v15.mp4, prompt_5_v16.mp4, prompt_8_v02.mp4, prompt_9_v06.mp4, prompt_9_v07.mp4, prompt_9_v10.mp4, prompt_9_v11.mp4, prompt_9_v13.mp4, prompt_9_v14.mp4, prompt_9_v15.mp4, prompt_9_v17.mp4, prompt_9_v19.mp4, prompt_9_v20.mp4

wrote /root/vlm_anomaly_reasoning/logs/prompt_lab_qlab_r5d.md
L2 verdict distribution: {'Anomaly': 51, 'Normal': 184}
--- group t (verdict_think16k): P0,L2 ---
=== P0: baseline control (verbatim released prompt) ===
  [P0 1] prompt_0.mp4: Anomaly (ok)
  [P0 2] prompt_4.mp4: Anomaly (ok)
  [P0 3] prompt_2.mp4: Anomaly (ok)
  [P0 4] prompt_3.mp4: Anomaly (ok)
P0: 4/4
=== L2: P0 + depiction/necessity guard line (min delta) ===
  [L2 1] prompt_0.mp4: Normal (X)
  [L2 2] prompt_2.mp4: Anomaly (ok)
  [L2 3] prompt_3.mp4: Anomaly (ok)
  [L2 4] prompt_4.mp4: Anomaly (ok)
L2: 3/4
gate: 4 recs, unknown=0, truncated=0
gate: 4 recs, unknown=0, truncated=0
=== P0: baseline control (verbatim released prompt) ===
  [P0 1] prompt_9.mp4: Anomaly (ok)
  [P0 2] prompt_0_v04.mp4: Anomaly (ok)
  [P0 3] prompt_0_v02.mp4: Anomaly (ok)
  [P0 4] prompt_0_v06.mp4: Anomaly (ok)
  [P0 5] prompt_0_v05.mp4: Anomaly (ok)
  [P0 6] prompt_0_v03.mp4: Anomaly (ok)
  [P0 7] prompt_5.mp4: Anomaly (ok)
  [P0 8] prompt_0_v11.mp4: Anomaly (ok)
  [P0 9] prompt_0_v09.mp4: Anomaly (ok)
  [P0 10] prompt_0_v13.mp4: Anomaly (ok)
  [P0 11] prompt_0_v10.mp4: Anomaly (ok)
  [P0 12] prompt_0_v01.mp4: Anomaly (ok)
  [P0 13] prompt_0_v07.mp4: Anomaly (ok)
  [P0 14] prompt_0_v16.mp4: Anomaly (ok)
  [P0 15] prompt_0_v14.mp4: Anomaly (ok)
  [P0 16] prompt_2_v01.mp4: Anomaly (ok)
  [P0 17] prompt_0_v15.mp4: Anomaly (ok)
  [P0 18] prompt_2_v02.mp4: Anomaly (ok)
  [P0 19] prompt_0_v17.mp4: Anomaly (ok)
  [P0 20] prompt_2_v03.mp4: Anomaly (ok)
  [P0 21] prompt_2_v06.mp4: Anomaly (ok)
  [P0 22] prompt_2_v04.mp4: Anomaly (ok)
  [P0 23] prompt_0_v12.mp4: Anomaly (ok)
  [P0 24] prompt_2_v08.mp4: Anomaly (ok)
  [P0 25] prompt_2_v05.mp4: Anomaly (ok)
  [P0 26] prompt_2_v12.mp4: Anomaly (ok)
  [P0 27] prompt_0_v20.mp4: Normal (X)
  [P0 28] prompt_2_v10.mp4: Anomaly (ok)
  [P0 29] prompt_2_v07.mp4: Anomaly (ok)
  [P0 30] prompt_2_v13.mp4: Anomaly (ok)
  [P0 31] prompt_2_v11.mp4: Anomaly (ok)
  [P0 32] prompt_2_v19.mp4: Anomaly (ok)
  [P0 33] prompt_2_v16.mp4: Anomaly (ok)
  [P0 34] prompt_2_v15.mp4: Anomaly (ok)
  [P0 35] prompt_2_v14.mp4: Anomaly (ok)
  [P0 36] prompt_2_v20.mp4: Normal (X)
  [P0 37] prompt_2_v17.mp4: Anomaly (ok)
  [P0 38] prompt_3_v05.mp4: Anomaly (ok)
  [P0 39] prompt_3_v02.mp4: Anomaly (ok)
  [P0 40] prompt_3_v06.mp4: Anomaly (ok)
  [P0 41] prompt_3_v07.mp4: Anomaly (ok)
  [P0 42] prompt_3_v12.mp4: Normal (X)
  [P0 43] prompt_3_v03.mp4: Anomaly (ok)
  [P0 44] prompt_3_v11.mp4: Anomaly (ok)
  [P0 45] prompt_3_v09.mp4: Anomaly (ok)
  [P0 46] prompt_3_v14.mp4: Anomaly (ok)
  [P0 47] prompt_3_v19.mp4: Anomaly (ok)
  [P0 48] prompt_4_v01.mp4: Anomaly (ok)
  [P0 49] prompt_3_v15.mp4: Anomaly (ok)
  [P0 50] prompt_4_v03.mp4: Anomaly (ok)
  [P0 51] prompt_4_v02.mp4: Anomaly (ok)
  [P0 52] prompt_3_v13.mp4: Normal (X)
  [P0 53] prompt_4_v07.mp4: Anomaly (ok)
  [P0 54] prompt_4_v04.mp4: Anomaly (ok)
  [P0 55] prompt_3_v16.mp4: Normal (X)
  [P0 56] prompt_4_v05.mp4: Anomaly (ok)
  [P0 57] prompt_3_v17.mp4: Anomaly (ok)
  [P0 58] prompt_4_v06.mp4: Anomaly (ok)
  [P0 59] prompt_4_v10.mp4: Anomaly (ok)
  [P0 60] prompt_4_v12.mp4: Anomaly (ok)
  [P0 61] prompt_4_v09.mp4: Anomaly (ok)
  [P0 62] prompt_4_v13.mp4: Anomaly (ok)
  [P0 63] prompt_4_v14.mp4: Anomaly (ok)
  [P0 64] prompt_4_v17.mp4: Anomaly (ok)
  [P0 65] prompt_4_v15.mp4: Anomaly (ok)
  [P0 66] prompt_4_v20.mp4: Anomaly (ok)
  [P0 67] prompt_4_v16.mp4: Anomaly (ok)
  [P0 68] prompt_5_v05.mp4: Anomaly (ok)
  [P0 69] prompt_5_v06.mp4: Anomaly (ok)
  [P0 70] prompt_5_v03.mp4: Anomaly (ok)
  [P0 71] prompt_5_v01.mp4: Anomaly (ok)
  [P0 72] prompt_5_v02.mp4: Anomaly (ok)
  [P0 73] prompt_5_v04.mp4: Anomaly (ok)
  [P0 74] prompt_5_v09.mp4: Anomaly (ok)
  [P0 75] prompt_5_v14.mp4: Anomaly (ok)
  [P0 76] prompt_5_v07.mp4: Anomaly (ok)
  [P0 77] prompt_5_v15.mp4: Anomaly (ok)
  [P0 78] prompt_5_v12.mp4: Normal (X)
  [P0 79] prompt_5_v10.mp4: Anomaly (ok)
  [P0 80] prompt_8_v02.mp4: Anomaly (ok)
  [P0 81] prompt_8_v06.mp4: Anomaly (ok)
  [P0 82] prompt_8_v03.mp4: Anomaly (ok)
  [P0 83] prompt_8_v18.mp4: Anomaly (ok)
  [P0 84] prompt_5_v13.mp4: Anomaly (ok)
  [P0 85] prompt_8_v08.mp4: Anomaly (ok)
  [P0 86] prompt_8_v12.mp4: Anomaly (ok)
  [P0 87] prompt_8_v20.mp4: Anomaly (ok)
  [P0 88] prompt_9_v03.mp4: Anomaly (ok)
  [P0 89] prompt_9_v02.mp4: Anomaly (ok)
  [P0 90] prompt_9_v05.mp4: Anomaly (ok)
  [P0 91] prompt_9_v06.mp4: Anomaly (ok)
  [P0 92] prompt_9_v08.mp4: Anomaly (ok)
  [P0 93] prompt_9_v07.mp4: Anomaly (ok)
  [P0 94] prompt_9_v01.mp4: Anomaly (ok)
  [P0 95] prompt_9_v10.mp4: Anomaly (ok)
  [P0 96] prompt_9_v09.mp4: Anomaly (ok)
  [P0 97] prompt_9_v15.mp4: Anomaly (ok)
  [P0 98] prompt_9_v11.mp4: Anomaly (ok)
  [P0 99] prompt_9_v14.mp4: Anomaly (ok)
  [P0 100] prompt_9_v13.mp4: Anomaly (ok)
  [P0 101] prompt_9_v18.mp4: Anomaly (ok)
  [P0 102] prompt_5_v16.mp4: Anomaly (ok)
  [P0 103] prompt_9_v19.mp4: Anomaly (ok)
  [P0 104] prompt_9_v20.mp4: Anomaly (ok)
  [P0 105] prompt_0.mp4: Anomaly (X)
  [P0 106] prompt_6.mp4: Normal (ok)
  [P0 107] prompt_11.mp4: Anomaly (X)
  [P0 108] prompt_5_v17.mp4: Anomaly (ok)
  [P0 109] prompt_5.mp4: Normal (ok)
  [P0 110] prompt_4.mp4: Anomaly (X)
  [P0 111] prompt_0_v02.mp4: Anomaly (X)
  [P0 112] prompt_0_v07.mp4: Normal (ok)
  [P0 113] prompt_0_v04.mp4: Normal (ok)
  [P0 114] prompt_9_v17.mp4: Anomaly (ok)
  [P0 115] prompt_8.mp4: Anomaly (X)
  [P0 116] prompt_0_v09.mp4: Anomaly (X)
  [P0 117] prompt_0_v08.mp4: Anomaly (X)
  [P0 118] prompt_0_v10.mp4: Normal (ok)
  [P0 119] prompt_0_v01.mp4: Anomaly (X)
  [P0 120] prompt_0_v11.mp4: Anomaly (X)
  [P0 121] prompt_0_v17.mp4: Normal (ok)
  [P0 122] prompt_0_v13.mp4: Normal (ok)
  [P0 123] prompt_0_v15.mp4: Normal (ok)
  [P0 124] prompt_0_v14.mp4: Anomaly (X)
  [P0 125] prompt_0_v16.mp4: Anomaly (X)
  [P0 126] prompt_11_v02.mp4: Normal (ok)
  [P0 127] prompt_0_v12.mp4: Anomaly (X)
  [P0 128] prompt_11_v04.mp4: Normal (ok)
  [P0 129] prompt_11_v07.mp4: Normal (ok)
  [P0 130] prompt_11_v06.mp4: Anomaly (X)
  [P0 131] prompt_11_v11.mp4: Normal (ok)
  [P0 132] prompt_0_v20.mp4: Anomaly (X)
  [P0 133] prompt_11_v13.mp4: Normal (ok)
  [P0 134] prompt_11_v15.mp4: Normal (ok)
  [P0 135] prompt_11_v03.mp4: Anomaly (X)
  [P0 136] prompt_0_v19.mp4: Anomaly (X)
  [P0 137] prompt_11_v12.mp4: Anomaly (X)
  [P0 138] prompt_2_v01.mp4: Anomaly (X)
  [P0 139] prompt_11_v16.mp4: Normal (ok)
  [P0 140] prompt_2_v11.mp4: Anomaly (X)
  [P0 141] prompt_2_v05.mp4: Anomaly (X)
  [P0 142] prompt_11_v20.mp4: Normal (ok)
  [P0 143] prompt_11_v18.mp4: Anomaly (X)
  [P0 144] prompt_2_v12.mp4: Anomaly (X)
  [P0 145] prompt_2_v10.mp4: Anomaly (X)
  [P0 146] prompt_2_v18.mp4: Anomaly (X)
  [P0 147] prompt_2_v14.mp4: Anomaly (X)
  [P0 148] prompt_2_v20.mp4: Anomaly (X)
  [P0 149] prompt_2_v16.mp4: Anomaly (X)
  [P0 150] prompt_11_v14.mp4: Normal (ok)
  [P0 151] prompt_4_v04.mp4: Anomaly (X)
  [P0 152] prompt_4_v03.mp4: Anomaly (X)
  [P0 153] prompt_4_v05.mp4: Anomaly (X)
  [P0 154] prompt_4_v02.mp4: Anomaly (X)
  [P0 155] prompt_4_v08.mp4: Anomaly (X)
  [P0 156] prompt_4_v11.mp4: Anomaly (X)
  [P0 157] prompt_4_v06.mp4: Anomaly (X)
  [P0 158] prompt_4_v15.mp4: Anomaly (X)
  [P0 159] prompt_4_v13.mp4: Anomaly (X)
  [P0 160] prompt_4_v14.mp4: Anomaly (X)
  [P0 161] prompt_4_v07.mp4: Anomaly (X)
  [P0 162] prompt_4_v10.mp4: Anomaly (X)
  [P0 163] prompt_4_v16.mp4: Anomaly (X)
  [P0 164] prompt_4_v20.mp4: Anomaly (X)
  [P0 165] prompt_4_v19.mp4: Anomaly (X)
  [P0 166] prompt_4_v17.mp4: Anomaly (X)
  [P0 167] prompt_5_v04.mp4: Normal (ok)
  [P0 168] prompt_4_v18.mp4: Anomaly (X)
  [P0 169] prompt_5_v01.mp4: Anomaly (X)
  [P0 170] prompt_5_v07.mp4: Normal (ok)
  [P0 171] prompt_5_v06.mp4: Anomaly (X)
  [P0 172] prompt_5_v02.mp4: Anomaly (X)
  [P0 173] prompt_5_v05.mp4: Anomaly (X)
  [P0 174] prompt_5_v10.mp4: Anomaly (X)
  [P0 175] prompt_5_v03.mp4: Anomaly (X)
  [P0 176] prompt_5_v08.mp4: Anomaly (X)
  [P0 177] prompt_5_v11.mp4: Anomaly (X)
  [P0 178] prompt_5_v18.mp4: Anomaly (X)
  [P0 179] prompt_5_v15.mp4: Normal (ok)
  [P0 180] prompt_5_v16.mp4: Anomaly (X)
  [P0 181] prompt_6_v03.mp4: Normal (ok)
  [P0 182] prompt_5_v14.mp4: Normal (ok)
  [P0 183] prompt_6_v06.mp4: Normal (ok)
  [P0 184] prompt_6_v02.mp4: Normal (ok)
  [P0 185] prompt_6_v05.mp4: Normal (ok)
  [P0 186] prompt_6_v04.mp4: Normal (ok)
  [P0 187] prompt_6_v10.mp4: Normal (ok)
  [P0 188] prompt_6_v07.mp4: Normal (ok)
  [P0 189] prompt_6_v12.mp4: Normal (ok)
  [P0 190] prompt_6_v13.mp4: Normal (ok)
  [P0 191] prompt_5_v20.mp4: Anomaly (X)
  [P0 192] prompt_6_v08.mp4: Anomaly (X)
  [P0 193] prompt_6_v16.mp4: Normal (ok)
  [P0 194] prompt_6_v11.mp4: Normal (ok)
  [P0 195] prompt_6_v14.mp4: Normal (ok)
  [P0 196] prompt_6_v18.mp4: Normal (ok)
  [P0 197] prompt_6_v20.mp4: Normal (ok)
  [P0 198] prompt_5_v19.mp4: Normal (ok)
  [P0 199] prompt_6_v15.mp4: Normal (ok)
  [P0 200] prompt_8_v02.mp4: Anomaly (X)
  [P0 201] prompt_6_v19.mp4: Normal (ok)
  [P0 202] prompt_8_v04.mp4: Anomaly (X)
  [P0 203] prompt_8_v08.mp4: Anomaly (X)
  [P0 204] prompt_8_v03.mp4: Anomaly (X)
  [P0 205] prompt_8_v01.mp4: Anomaly (X)
  [P0 206] prompt_8_v12.mp4: Anomaly (X)
  [P0 207] prompt_8_v06.mp4: Normal (ok)
  [P0 208] prompt_8_v09.mp4: Anomaly (X)
  [P0 209] prompt_8_v13.mp4: Normal (ok)
  [P0 210] prompt_8_v14.mp4: Anomaly (X)
  [P0 211] prompt_8_v07.mp4: Anomaly (X)
  [P0 212] prompt_8_v11.mp4: Anomaly (X)
  [P0 213] prompt_8_v17.mp4: Normal (ok)
  [P0 214] prompt_8_v18.mp4: Anomaly (X)
  [P0 215] prompt_8_v16.mp4: Anomaly (X)
  [P0 216] prompt_8_v20.mp4: Anomaly (X)
  [P0 217] prompt_8_v19.mp4: Anomaly (X)
  [P0 218] prompt_9_v01.mp4: Anomaly (X)
  [P0 219] prompt_8_v15.mp4: Anomaly (X)
  [P0 220] prompt_9_v06.mp4: Anomaly (X)
  [P0 221] prompt_9_v07.mp4: Anomaly (X)
  [P0 222] prompt_9_v08.mp4: Anomaly (X)
  [P0 223] prompt_9_v03.mp4: Anomaly (X)
  [P0 224] prompt_9_v04.mp4: Anomaly (X)
  [P0 225] prompt_9_v05.mp4: Anomaly (X)
  [P0 226] prompt_9_v13.mp4: Anomaly (X)
  [P0 227] prompt_9_v09.mp4: Anomaly (X)
  [P0 228] prompt_9_v14.mp4: Anomaly (X)
  [P0 229] prompt_9_v16.mp4: Anomaly (X)
  [P0 230] prompt_9_v17.mp4: Normal (ok)
  [P0 231] prompt_9_v20.mp4: Anomaly (X)
P0: 146/235
=== L2: P0 + depiction/necessity guard line (min delta) ===
  [L2 1] prompt_0_v02.mp4: Normal (X)
  [L2 2] prompt_0_v01.mp4: Normal (X)
  [L2 3] prompt_0_v04.mp4: Anomaly (ok)
  [L2 4] prompt_0_v03.mp4: Anomaly (ok)
  [L2 5] prompt_0_v05.mp4: Anomaly (ok)
  [L2 6] prompt_0_v09.mp4: Normal (X)
  [L2 7] prompt_0_v06.mp4: Normal (X)
  [L2 8] prompt_0_v10.mp4: Normal (X)
  [L2 9] prompt_0_v12.mp4: Normal (X)
  [L2 10] prompt_0_v14.mp4: Normal (X)
  [L2 11] prompt_0_v11.mp4: Anomaly (ok)
  [L2 12] prompt_9.mp4: Anomaly (ok)
  [L2 13] prompt_0_v07.mp4: Anomaly (ok)
  [L2 14] prompt_0_v15.mp4: Anomaly (ok)
  [L2 15] prompt_0_v13.mp4: Anomaly (ok)
  [L2 16] prompt_0_v16.mp4: Anomaly (ok)
  [L2 17] prompt_5.mp4: Normal (X)
  [L2 18] prompt_2_v01.mp4: Anomaly (ok)
  [L2 19] prompt_2_v02.mp4: Normal (X)
  [L2 20] prompt_0_v17.mp4: Anomaly (ok)
  [L2 21] prompt_2_v06.mp4: Anomaly (ok)
  [L2 22] prompt_2_v03.mp4: Anomaly (ok)
  [L2 23] prompt_2_v04.mp4: Normal (X)
  [L2 24] prompt_2_v10.mp4: Anomaly (ok)
  [L2 25] prompt_0_v20.mp4: Anomaly (ok)
  [L2 26] prompt_2_v05.mp4: Normal (X)
  [L2 27] prompt_2_v12.mp4: Anomaly (ok)
  [L2 28] prompt_2_v08.mp4: Anomaly (ok)
  [L2 29] prompt_2_v13.mp4: Anomaly (ok)
  [L2 30] prompt_2_v07.mp4: Anomaly (ok)
  [L2 31] prompt_2_v16.mp4: Anomaly (ok)
  [L2 32] prompt_2_v15.mp4: Anomaly (ok)
  [L2 33] prompt_2_v14.mp4: Anomaly (ok)
  [L2 34] prompt_2_v11.mp4: Normal (X)
  [L2 35] prompt_2_v17.mp4: Anomaly (ok)
  [L2 36] prompt_2_v19.mp4: Anomaly (ok)
  [L2 37] prompt_2_v20.mp4: Anomaly (ok)
  [L2 38] prompt_3_v03.mp4: Anomaly (ok)
  [L2 39] prompt_3_v02.mp4: Anomaly (ok)
  [L2 40] prompt_3_v05.mp4: Anomaly (ok)
  [L2 41] prompt_3_v11.mp4: Normal (X)
  [L2 42] prompt_3_v09.mp4: Anomaly (ok)
  [L2 43] prompt_3_v06.mp4: Normal (X)
  [L2 44] prompt_3_v12.mp4: Normal (X)
  [L2 45] prompt_3_v14.mp4: Anomaly (ok)
  [L2 46] prompt_3_v19.mp4: Anomaly (ok)
